variable,bin,n_loans,n_defaults,default_rate,mean_feature_value
loan_amnt,"(499.999, 4000.0]",18017,2349,0.13037686629294556,2820.3738136204697
loan_amnt,"(4000.0, 6000.0]",22288,2779,0.12468592964824121,5319.426372936109
loan_amnt,"(6000.0, 7500.0]",12843,1641,0.12777388460640038,6898.493342676945
loan_amnt,"(7500.0, 9000.0]",17246,2313,0.13411805636089527,8323.041574857938
loan_amnt,"(9000.0, 10000.0]",20599,2704,0.13126850818000874,9880.468712073402
loan_amnt,"(10000.0, 12000.0]",18909,2376,0.1256544502617801,11529.419852980063
loan_amnt,"(12000.0, 14825.0]",11201,1386,0.1237389518792965,13527.432818498348
loan_amnt,"(14825.0, 17500.0]",17437,2137,0.12255548546194873,15638.998967712336
loan_amnt,"(17500.0, 21625.0]",17151,1862,0.1085650982450003,19518.646143082035
loan_amnt,"(21625.0, 35000.0]",17297,1961,0.1133722610857374,27575.661964502517
annual_inc,"(3999.999, 31000.0]",17754,3207,0.1806353497803312,24898.301643010025
annual_inc,"(31000.0, 39000.0]",16862,2785,0.16516427470051,35278.33560609655
annual_inc,"(39000.0, 45000.0]",18672,2801,0.1500107112253642,42306.21702602827
annual_inc,"(45000.0, 52000.0]",17961,2392,0.1331774400089082,49301.97822170258
annual_inc,"(52000.0, 60000.0]",20193,2564,0.12697469420096072,57015.51140890408
annual_inc,"(60000.0, 67800.0]",12360,1421,0.11496763754045307,64194.23441990291
annual_inc,"(67800.0, 78000.0]",17905,1928,0.10767941915666016,72601.17603686122
annual_inc,"(78000.0, 90000.0]",16715,1604,0.09596171103798982,84338.65699311996
annual_inc,"(90000.0, 115000.0]",17279,1418,0.08206493431332831,101737.86460732682
annual_inc,"(115000.0, 7141778.0]",17287,1388,0.08029154856250362,166661.23575750564
dti,"(-0.001, 6.18]",17317,1688,0.09747646821042906,3.7841288906854538
dti,"(6.18, 9.11]",17330,1721,0.09930755914598961,7.728863242931333
dti,"(9.11, 11.49]",17292,1807,0.10449919037705298,10.33056095304187
dti,"(11.49, 13.64]",17269,1915,0.11089235045457177,12.593210956048411
dti,"(13.64, 15.74]",17301,2027,0.11716085775388706,14.69088318594301
dti,"(15.74, 17.92]",17353,2212,0.127470754336426,16.82794444764594
dti,"(17.92, 20.26]",17258,2250,0.1303743191563333,19.081472940085757
dti,"(20.26, 22.9]",17286,2446,0.14150179335878746,21.546970380654866
