variable,target_group,n_observations,missing_rate,mean,median,p05,p25,p75,p95
loan_amnt,Non-défaut,151480,0.0,11949.88925930816,10000.0,3000.0,6500.0,15281.25,25600.0
loan_amnt,Défaut,21508,0.0,11569.529942347033,10000.0,3000.0,6350.0,15000.0,25450.0
annual_inc,Non-défaut,151480,0.0,70666.00461341432,60000.0,26000.0,43000.0,85000.0,145000.0
annual_inc,Défaut,21508,0.0,60501.99421843036,51000.0,24000.0,37000.0,72000.0,125000.0
dti,Non-défaut,151480,0.0,15.896771785054131,15.52,4.0,10.18,21.3,29.09
dti,Défaut,21508,0.0,17.383386646829088,17.3,4.74,11.68,23.0,30.21
delinq_2yrs,Non-défaut,151480,0.0,0.21888698177977292,0.0,0.0,0.0,0.0,1.0
delinq_2yrs,Défaut,21508,0.0,0.23172772921703552,0.0,0.0,0.0,0.0,1.0
inq_last_6mths,Non-défaut,151480,0.0,0.7684050699762345,0.0,0.0,0.0,1.0,3.0
inq_last_6mths,Défaut,21508,0.0,0.948205318951088,1.0,0.0,0.0,2.0,3.0
open_acc,Non-défaut,151480,0.0,10.528168735146554,10.0,4.0,7.0,13.0,19.0
open_acc,Défaut,21508,0.0,10.53705597917054,10.0,4.0,7.0,13.0,19.0
pub_rec,Non-défaut,151480,0.0,0.09983496171111698,0.0,0.0,0.0,0.0,1.0
pub_rec,Défaut,21508,0.0,0.10716942533010973,0.0,0.0,0.0,0.0,1.0
revol_bal,Non-défaut,151480,0.0,14975.665084499604,11011.0,1546.0,6107.75,18794.0,37781.149999999965
revol_bal,Défaut,21508,0.0,13662.063790217593,10397.0,1501.0,5957.0,17090.0,34225.79999999984
revol_util,Non-défaut,151361,0.0007855822550831792,55.267027503782344,57.3,10.4,37.9,74.6,92.0
revol_util,Défaut,21483,0.0011623581923005393,59.84311409021087,62.3,16.7,44.0,78.4,93.6
total_acc,Non-défaut,151480,0.0,23.5990691840507,22.0,8.0,15.0,30.0,44.0
total_acc,Défaut,21508,0.0,22.49376976008927,21.0,8.0,14.0,29.0,43.0
acc_now_delinq,Non-défaut,151480,0.0,0.001828624240823871,0.0,0.0,0.0,0.0,0.0
acc_now_delinq,Défaut,21508,0.0,0.00265017667844523,0.0,0.0,0.0,0.0,0.0
chargeoff_within_12_mths,Non-défaut,151430,0.0003300765777660417,0.004153734398732087,0.0,0.0,0.0,0.0,0.0
chargeoff_within_12_mths,Défaut,21502,0.00027896596615212943,0.003767091433355037,0.0,0.0,0.0,0.0,0.0
collections_12_mths_ex_med,Non-défaut,151430,0.0003300765777660417,0.0025358251337251536,0.0,0.0,0.0,0.0,0.0
collections_12_mths_ex_med,Défaut,21502,0.00027896596615212943,0.003209003813598735,0.0,0.0,0.0,0.0,0.0
pub_rec_bankruptcies,Non-défaut,150901,0.003822286770530763,0.07990006693129934,0.0,0.0,0.0,0.0,1.0
pub_rec_bankruptcies,Défaut,21390,0.005486330667658546,0.08569424964936886,0.0,0.0,0.0,0.0,1.0
tax_liens,Non-défaut,151442,0.0002508581991021917,0.012083834075091454,0.0,0.0,0.0,0.0,0.0
tax_liens,Défaut,21507,4.6494327692021575e-05,0.011112660994094945,0.0,0.0,0.0,0.0,0.0
fico_score,Non-défaut,151480,0.0,703.3392725112226,697.0,662.0,677.0,722.0,772.0
fico_score,Défaut,21508,0.0,692.2099218895295,687.0,662.0,672.0,707.0,742.0
credit_history_months,Non-défaut,151480,0.0,180.6129125957222,164.0,68.0,123.0,223.0,346.0
credit_history_months,Défaut,21508,0.0,170.7517667844523,155.0,63.0,114.0,209.0,337.6499999999978
emp_length_years,Non-défaut,145315,0.04069844203855295,5.772432302239961,6.0,0.5,2.0,10.0,10.0
emp_length_years,Défaut,20140,0.0636042402826855,5.661196623634558,6.0,0.5,2.0,10.0,10.0
