variable,category,n_loans,n_defaults,portfolio_share,default_rate,is_rare
home_ownership,OTHER,175,30,0.0010116308645686405,0.17142857142857143,True
home_ownership,OWN,14587,1905,0.08432376812264435,0.13059573592925208,False
home_ownership,RENT,77040,11054,0.4453488103221033,0.14348390446521286,False
home_ownership,MORTGAGE,81186,8519,0.46931579069068374,0.10493188480772547,False
purpose,renewable_energy,183,32,0.0010578768469489213,0.17486338797814208,True
purpose,educational,309,49,0.0017862510694383426,0.15857605177993528,True
purpose,house,1061,134,0.00613337341318473,0.12629594721960416,True
purpose,vacation,1176,170,0.006798159409901265,0.1445578231292517,True
purpose,moving,1428,221,0.008254907854880107,0.15476190476190477,True
purpose,medical,1879,290,0.010862025111568432,0.15433741351782862,False
purpose,wedding,1892,209,0.01093717483293639,0.11046511627906977,False
purpose,car,2618,245,0.015133997733946863,0.09358288770053476,False
purpose,small_business,3345,732,0.019336601382754875,0.21883408071748878,False
purpose,major_purchase,4694,441,0.02713483016162971,0.09394972305070302,False
purpose,home_improvement,9833,1064,0.05684209309316253,0.10820705786636835,False
purpose,other,10229,1600,0.059131269220986424,0.15641802717763223,False
purpose,credit_card,39335,4142,0.22738571461604273,0.10530062285496378,False
purpose,debt_consolidation,95006,12179,0.5492057252526187,0.12819190366924194,False
verification_status,Source Verified,37800,4631,0.21851226674682636,0.12251322751322752,False
verification_status,Verified,62102,8073,0.3589959997225241,0.12999581333934496,False
verification_status,Not Verified,73086,8804,0.4224917335306495,0.12046082697096572,False
