variable,dtype,n_missing,missing_rate,n_unique,variable_type
mths_since_recent_inq,float64,97955,0.15835359466135562,26,Numerical
tot_cur_bal,float64,51646,0.08349068194457018,258756,Numerical
total_rev_hi_lim,float64,51646,0.08349068194457018,16414,Numerical
num_accts_ever_120_pd,float64,51646,0.08349068194457018,35,Numerical
num_tl_90g_dpd_24m,float64,51646,0.08349068194457018,23,Numerical
num_tl_30dpd,float64,51646,0.08349068194457018,5,Numerical
bc_util,float64,41324,0.06680418504196682,1347,Numerical
percent_bc_gt_75,float64,41291,0.06675083739637624,207,Numerical
bc_open_to_buy,float64,40937,0.06617856265276825,55357,Numerical
mths_since_recent_bc,float64,40526,0.06551414197586747,440,Numerical
emp_length,str,36139,0.058422138302962896,11,Categorical
total_bc_limit,float64,35121,0.05677644426625972,11563,Numerical
acc_open_past_24mths,float64,35121,0.05677644426625972,48,Numerical
mort_acc,float64,35121,0.05677644426625972,35,Numerical
pub_rec_bankruptcies,float64,697,0.0011267669386857727,11,Numerical
revol_util,float64,347,0.0005609585763614966,1281,Numerical
collections_12_mths_ex_med,float64,56,9.052933797188418e-05,11,Numerical
chargeoff_within_12_mths,float64,56,9.052933797188418e-05,10,Numerical
tax_liens,float64,39,6.304721751613363e-05,30,Numerical
dti,float64,2,3.2331906418530063e-06,4034,Numerical
revol_bal,float64,0,0.0,63588,Numerical
annual_inc,float64,0,0.0,37086,Numerical
loan_amnt,float64,0,0.0,1367,Numerical
earliest_cr_line,str,0,0.0,689,Categorical
total_acc,float64,0,0.0,124,Numerical
open_acc,float64,0,0.0,71,Numerical
addr_state,str,0,0.0,51,Categorical
fico_range_low,float64,0,0.0,40,Numerical
fico_range_high,float64,0,0.0,40,Numerical
pub_rec,float64,0,0.0,29,Numerical
delinq_2yrs,float64,0,0.0,26,Numerical
purpose,str,0,0.0,14,Categorical
inq_last_6mths,float64,0,0.0,9,Numerical
acc_now_delinq,float64,0,0.0,8,Numerical
home_ownership,str,0,0.0,6,Categorical
verification_status,str,0,0.0,3,Categorical
application_type,str,0,0.0,2,Categorical
