variable,feature_type,used_in_v1
loan_amnt,numerical,True
annual_inc,numerical,True
dti,numerical,True
delinq_2yrs,numerical,True
inq_last_6mths,numerical,True
open_acc,numerical,True
pub_rec,numerical,True
revol_bal,numerical,True
revol_util,numerical,True
total_acc,numerical,True
acc_now_delinq,numerical,True
chargeoff_within_12_mths,numerical,True
collections_12_mths_ex_med,numerical,True
pub_rec_bankruptcies,numerical,True
tax_liens,numerical,True
fico_score,numerical,True
credit_history_months,numerical,True
emp_length_years,numerical,True
home_ownership,categorical,True
purpose,categorical,True
verification_status,categorical,True
