issue_year,term_months,n_loans,n_contractually_mature,maturity_rate,n_not_mature,term_label
2007,36,251,251,1.0,0,36 months
2008,36,1562,1562,1.0,0,36 months
2009,36,4716,4716,1.0,0,36 months
2010,36,8466,8466,1.0,0,36 months
2010,60,3070,3070,1.0,0,60 months
2011,36,14101,14101,1.0,0,36 months
2011,60,7620,7620,1.0,0,60 months
2012,36,43470,43470,1.0,0,36 months
2012,60,9897,9897,1.0,0,60 months
2013,36,100422,100422,1.0,0,36 months
2013,60,34382,34382,1.0,0,60 months
2014,36,162570,162570,1.0,0,36 months
2014,60,60533,12939,0.21375117704392646,47594,60 months
2015,36,283026,283026,1.0,0,36 months
2015,60,92520,0,0.0,92520,60 months
2016,36,232361,89785,0.38640305386876456,142576,36 months
2016,60,60744,0,0.0,60744,60 months
2017,36,128551,0,0.0,128551,36 months
2017,60,40770,0,0.0,40770,60 months
2018,36,41272,0,0.0,41272,36 months
2018,60,15046,0,0.0,15046,60 months
