variable,train,validation,test,max_missing_rate,missing_rate_range
tot_cur_bal,0.2985525007514972,0.0,0.0,0.2985525007514972,0.2985525007514972
num_tl_90g_dpd_24m,0.2985525007514972,0.0,0.0,0.2985525007514972,0.2985525007514972
num_tl_30dpd,0.2985525007514972,0.0,0.0,0.2985525007514972,0.2985525007514972
num_accts_ever_120_pd,0.2985525007514972,0.0,0.0,0.2985525007514972,0.2985525007514972
total_rev_hi_lim,0.2985525007514972,0.0,0.0,0.2985525007514972,0.2985525007514972
mths_since_recent_inq,0.29655236201355006,0.09481454142830781,0.1103820850381237,0.29655236201355006,0.20173782058524226
bc_util,0.21046546581265752,0.011613458817740051,0.010698663727007413,0.21046546581265752,0.1997668020856501
percent_bc_gt_75,0.21011284019700788,0.01142892292550901,0.010903591896150883,0.21011284019700788,0.19920924830085698
bc_open_to_buy,0.21010127870141282,0.010819954481146582,0.01000968108936988,0.21010127870141282,0.20009159761204293
mths_since_recent_bc,0.20921104354059242,0.00990342621639909,0.009628090705447557,0.20921104354059242,0.19958295283514485
acc_open_past_24mths,0.20302564339722987,0.0,0.0,0.20302564339722987,0.20302564339722987
total_bc_limit,0.20302564339722987,0.0,0.0,0.20302564339722987,0.20302564339722987
mort_acc,0.20302564339722987,0.0,0.0,0.20302564339722987,0.20302564339722987
emp_length,0.04354637315883183,0.059334440548686716,0.06699031184414153,0.06699031184414153,0.023443938685309702
pub_rec_bankruptcies,0.0040291812148819574,0.0,0.0,0.0040291812148819574,0.0040291812148819574
revol_util,0.0008324276828450528,0.00047364212339299995,0.0004451887812427127,0.0008324276828450528,0.00038723890160234013
chargeoff_within_12_mths,0.000323721876661965,0.0,0.0,0.000323721876661965,0.000323721876661965
collections_12_mths_ex_med,0.000323721876661965,0.0,0.0,0.000323721876661965,0.000323721876661965
tax_liens,0.00022544916410386848,0.0,0.0,0.00022544916410386848,0.00022544916410386848
dti,0.0,0.0,7.06648859115417e-06,7.06648859115417e-06,7.06648859115417e-06
total_acc,0.0,0.0,0.0,0.0,0.0
delinq_2yrs,0.0,0.0,0.0,0.0,0.0
home_ownership,0.0,0.0,0.0,0.0,0.0
annual_inc,0.0,0.0,0.0,0.0,0.0
verification_status,0.0,0.0,0.0,0.0,0.0
purpose,0.0,0.0,0.0,0.0,0.0
addr_state,0.0,0.0,0.0,0.0,0.0
earliest_cr_line,0.0,0.0,0.0,0.0,0.0
application_type,0.0,0.0,0.0,0.0,0.0
fico_range_low,0.0,0.0,0.0,0.0,0.0
fico_range_high,0.0,0.0,0.0,0.0,0.0
inq_last_6mths,0.0,0.0,0.0,0.0,0.0
open_acc,0.0,0.0,0.0,0.0,0.0
pub_rec,0.0,0.0,0.0,0.0,0.0
revol_bal,0.0,0.0,0.0,0.0,0.0
acc_now_delinq,0.0,0.0,0.0,0.0,0.0
loan_amnt,0.0,0.0,0.0,0.0,0.0
