,count,mean,std,min,1%,5%,25%,50%,75%,95%,99%,max,missing_rate
acc_now_delinq,618584.0,0.004751173648202993,0.07672086914509893,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0
acc_open_past_24mths,583463.0,4.356425343166576,2.9732605421584957,0.0,0.0,1.0,2.0,4.0,6.0,10.0,14.0,64.0,0.05677644426625972
annual_inc,618584.0,72558.73349886193,66270.83356525707,0.0,17000.0,25500.0,43000.0,60000.0,87000.0,150000.0,250000.0,9000000.0,0.0
bc_open_to_buy,577647.0,8970.106369460933,14233.93144251783,0.0,0.0,105.0,1176.0,3845.0,10521.0,35497.39999999991,69565.08000000007,497445.0,0.06617856265276825
bc_util,577260.0,62.71106589751586,27.222806204321277,0.0,0.1,12.4,42.6,66.6,86.4,98.2,101.0,339.6,0.06680418504196682
chargeoff_within_12_mths,618528.0,0.008901779709245175,0.1080934304078224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,9.052933797188418e-05
collections_12_mths_ex_med,618528.0,0.01489989135495887,0.13794993284301094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,20.0,9.052933797188418e-05
delinq_2yrs,618584.0,0.31496288297143155,0.8689262451095752,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,30.0,0.0
dti,618582.0,17.563194144026177,8.38434945411045,0.0,1.83,4.84,11.35,17.04,23.33,32.1,37.08,999.0,3.2331906418530063e-06
fico_range_high,618584.0,699.1137177812552,31.14885413064699,629.0,664.0,664.0,674.0,694.0,714.0,764.0,799.0,850.0,0.0
fico_range_low,618584.0,695.1136062361782,31.14831558666924,625.0,660.0,660.0,670.0,690.0,710.0,760.0,795.0,845.0,0.0
inq_last_6mths,618584.0,0.6843743129469886,0.9640312059275414,0.0,0.0,0.0,0.0,0.0,1.0,3.0,4.0,8.0,0.0
loan_amnt,618584.0,12495.228174346572,7782.715157432102,500.0,1500.0,3000.0,6650.0,10000.0,16000.0,28625.0,35000.0,35000.0,0.0
mort_acc,583463.0,1.621595542476558,2.0420797886818107,0.0,0.0,0.0,0.0,1.0,3.0,6.0,8.0,47.0,0.05677644426625972
mths_since_recent_bc,578058.0,24.510123551615926,30.798471801352566,0.0,1.0,2.0,6.0,14.0,30.0,87.0,141.0,616.0,0.06551414197586747
mths_since_recent_inq,520629.0,6.9079267578256305,5.925140212738174,0.0,0.0,0.0,2.0,5.0,10.0,19.0,23.0,25.0,0.15835359466135562
num_accts_ever_120_pd,566938.0,0.49571205316983513,1.2726412367376938,0.0,0.0,0.0,0.0,0.0,0.0,3.0,6.0,35.0,0.08349068194457018
num_tl_30dpd,566938.0,0.003374266674662838,0.06252747315757262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.08349068194457018
num_tl_90g_dpd_24m,566938.0,0.09225876550875052,0.5033001563508639,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,30.0,0.08349068194457018
open_acc,618584.0,11.25335120210028,5.228113079352052,0.0,3.0,5.0,8.0,10.0,14.0,21.0,28.0,84.0,0.0
percent_bc_gt_75,577293.0,48.28476357759405,35.65341062438239,0.0,0.0,0.0,16.7,50.0,75.0,100.0,100.0,100.0,0.06675083739637624
pub_rec,618584.0,0.2053205385202333,0.6067234391950789,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,86.0,0.0
pub_rec_bankruptcies,617887.0,0.12558121468812258,0.3681141777190178,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,12.0,0.0011267669386857727
revol_bal,618584.0,15531.332504558799,21775.406838307874,0.0,275.0,1837.1500000000015,5807.0,10634.0,18752.0,41406.0,88817.95000000147,2904836.0,0.0
revol_util,618237.0,53.73520651465376,23.900068638418887,0.0,2.0,13.0,36.1,54.3,72.1,91.9,98.2,892.3,0.0005609585763614966
tax_liens,618545.0,0.05047813821144783,0.4123898411766074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,85.0,6.304721751613363e-05
tot_cur_bal,566938.0,128195.08032800765,151889.53906292058,0.0,3192.0,7747.0,25505.0,64420.0,190118.5,412695.30000000005,652262.5300000001,8000078.0,0.08349068194457018
total_acc,618584.0,24.48611344619324,11.752520196941479,2.0,5.0,9.0,16.0,23.0,31.0,46.0,59.0,169.0,0.0
total_bc_limit,583463.0,20054.98230736139,20676.55963949079,0.0,0.0,2000.0,7000.0,13500.0,25900.0,60100.0,99800.0,760000.0,0.05677644426625972
total_rev_hi_lim,566938.0,30458.83048234551,39334.76076103792,0.0,2700.0,5500.0,12800.0,21900.0,37400.0,81000.0,150131.50000000023,9999999.0,0.08349068194457018
