feature,type_variable,bucket,woe,coefficient,points_bucket,n_loans,n_defaults,default_rate,iv_component
annual_inc,Numérique,"(-inf, 39000.0]",-0.38817461156795435,-0.7733792331336675,-8.662119441180389,34616,5992,0.1730991449040906,0.034789161948990635
annual_inc,Numérique,"(39000.0, 52000.0]",-0.15123989165778493,-0.7733792331336675,-3.3749193449803303,36633,5193,0.14175743182376546,0.005125247606343083
annual_inc,Numérique,"(52000.0, 67800.0]",0.017713018638905075,-0.7733792331336675,0.3952661470936777,32553,3985,0.12241575277240192,5.8650197363708285e-05
annual_inc,Numérique,"(67800.0, 90000.0]",0.22290322159093176,-0.7733792331336675,4.974087103340965,34620,3532,0.10202195262853841,0.009140414670427033
annual_inc,Numérique,"(90000.0, inf]",0.4743563052134518,-0.7733792331336675,10.585264597390148,34566,2806,0.08117803622056356,0.037565849463719034
dti,Numérique,"(22.9, inf]",-0.27403847367625067,-0.6241847392592275,-4.93547800628511,34582,5442,0.15736510323289574,0.016619669814392085
dti,Numérique,"(17.92, 22.9]",-0.10261188184723341,-0.6241847392592275,-1.8480568777318984,34544,4696,0.13594256600277907,0.002184880831413463
dti,Numérique,"(13.64, 17.92]",0.018578090418077065,-0.6241847392592275,0.334594465613322,34654,4239,0.12232354129393432,6.866045945657379e-05
dti,Numérique,"(9.11, 13.64]",0.1624719315624157,-0.6241847392592275,2.9261462235857447,34561,3722,0.10769364312375221,0.004960195418643991
dti,Numérique,"(-inf, 9.11]",0.26315673676073004,-0.6241847392592275,4.739496133753658,34647,3409,0.0983923572026438,0.012556406239833064
fico_score,Numérique,"(-inf, 672.0]",-0.4040264659749332,-0.8509194268733742,-9.919797079498695,35500,6226,0.17538028169014083,0.038871361757416456
fico_score,Numérique,"(672.0, 687.0]",-0.19185751960629124,-0.8509194268733742,-4.710551963663761,38059,5586,0.14677211697627368,0.008698642852326547
fico_score,Numérique,"(687.0, 702.0]",-0.009188290984058992,-0.8509194268733742,-0.22559408787568758,33853,4243,0.12533601157947596,1.6578662770516606e-05
fico_score,Numérique,"(702.0, 727.0]",0.2454526494223877,-0.8509194268733742,6.0264380676648095,35389,3538,0.09997456836870214,0.011232932978012597
fico_score,Numérique,"(727.0, inf]",0.7399819968902849,-0.8509194268733742,18.168293094168938,30187,1915,0.06343790373339517,0.07221424124602885
home_ownership,Catégorielle,Other,-0.38949945973172506,-0.371268720696599,-4.172532765978923,175,30,0.17142857142857143,0.0001781706784182251
home_ownership,Catégorielle,RENT,-0.16533627196343806,-0.371268720696599,-1.77117321972002,77040,11054,0.14348390446521286,0.012948731044207674
home_ownership,Catégorielle,OWN,-0.056470213602976195,-0.371268720696599,-0.6049400343778067,14587,1905,0.13059573592925208,0.00027466464216856256
home_ownership,Catégorielle,MORTGAGE,0.1915877255420687,-0.371268720696599,2.052393250902747,81186,8519,0.10493188480772547,0.016024180111833757
purpose,Catégorielle,small_business,-0.6798469493163283,-1.0710125659164362,-21.009235730556995,3345,732,0.21883408071748878,0.011419148753772508
purpose,Catégorielle,other,-0.26695872101654244,-1.0710125659164362,-8.249796083963739,10229,1600,0.15641802717763223,0.004653314770299851
purpose,Catégorielle,medical,-0.2522580025191909,-1.0710125659164362,-7.795501392151109,1879,290,0.15433741351782862,0.0007594668510219944
purpose,Catégorielle,Other,-0.18440860652432256,-1.0710125659164362,-5.698758947302924,4157,606,0.14577820543661293,0.0008755149665899406
purpose,Catégorielle,debt_consolidation,-0.03482328526052275,-1.0710125659164362,-1.0761401660866168,95006,12179,0.12819190366924194,0.0006747270581377229
purpose,Catégorielle,wedding,0.1320772926608543,-1.0710125659164362,4.081570093027714,1892,209,0.11046511627906977,0.0001816080968472036
purpose,Catégorielle,home_improvement,0.15694538028657598,-1.0710125659164362,4.850065878178081,9833,1064,0.10820705786636835,0.001319677022386375
purpose,Catégorielle,credit_card,0.1877327295648899,-1.0710125659164362,5.801483957140631,39335,4142,0.10530062285496378,0.007465256599357487
purpose,Catégorielle,major_purchase,0.3134902257938418,-1.0710125659164362,9.68775407398916,4694,441,0.09394972305070302,0.0023687988806920315
purpose,Catégorielle,car,0.316994784178715,-1.0710125659164362,9.796055057487495,2618,245,0.09358288770053476,0.0013492925543976666
revol_util,Numérique,Missing,-0.40727105602130587,-0.2250617267094072,-2.6447810703888943,144,25,0.1736111111111111,0.00016151254557270718
revol_util,Numérique,"(78.94, inf]",-0.2207070291482533,-0.2250617267094072,-1.4332513056428287,34569,5200,0.1504237901009575,0.010567494147834935
revol_util,Numérique,"(64.7, 78.94]",-0.11040926293662671,-0.2250617267094072,-0.7169876775999138,34465,4717,0.13686348469461773,0.0025310914090901702
revol_util,Numérique,"(50.8, 64.7]",-0.00626325838917276,-0.2250617267094072,-0.04067302839652808,34571,4322,0.12501807873651327,7.858066862828472e-06
revol_util,Numérique,"(33.7, 50.8]",0.07002710987532429,-0.2250617267094072,0.45474966088091473,34617,4047,0.11690787763237716,0.0009557704295956384
revol_util,Numérique,"(-inf, 33.7]",0.3333414355493485,-0.2250617267094072,2.16468886183519,34622,3197,0.09234013055282768,0.019602957143448896
