bucket,part_train,part_test,contribution_psi,feature
"(-inf, 672.0]",0.20521654681249565,0.29370093206984516,0.031721321555683676,fico_score
"(672.0, 687.0]",0.22000948042638796,0.22839244451039833,0.00031347892067594754,fico_score
"(687.0, 702.0]",0.19569565518995538,0.17288517662688233,0.0028269714402311824,fico_score
"(702.0, 727.0]",0.20457488380696928,0.17647141958689308,0.004152993749266332,fico_score
"(727.0, inf]",0.17450343376419172,0.12855002720598108,0.014044568416245871,fico_score
"(-inf, 39000.0]",0.20010636575947466,0.18303265424377974,0.0015227100586252824,annual_inc
"(39000.0, 52000.0]",0.21176613406710293,0.1984093334181312,0.0008701994008724976,annual_inc
"(52000.0, 67800.0]",0.18818068305315977,0.18056291648117134,0.00031479122716515016,annual_inc
"(67800.0, 90000.0]",0.20012948875066477,0.20258562817550332,2.9960115333221775e-05,annual_inc
"(90000.0, inf]",0.1998173283695979,0.23540946768141444,0.005834363936026755,annual_inc
"(-inf, 9.11]",0.20028556894119823,0.14893331354716527,0.015212876998063672,dti
"(13.64, 17.92]",0.200326034175781,0.1831457180612382,0.0015404575924026517,dti
"(17.92, 22.9]",0.19969015191805212,0.19339212651841173,0.00020183315692989047,dti
"(22.9, inf]",0.19990982033435845,0.30458685774451816,0.04407844604670291,dti
"(9.11, 13.64]",0.19978842463061022,0.16993491764007548,0.004831593175264857,dti
Missing,0.0001,0.0001,0.0,dti
"(-inf, 33.7]",0.20014105024625986,0.24137005080805296,0.007722557389803853,revol_util
"(33.7, 50.8]",0.2001121465072722,0.23819366418632917,0.006634033283238229,revol_util
"(50.8, 64.7]",0.19984623210858557,0.19773801700197155,2.2358091914573664e-05,revol_util
"(64.7, 78.94]",0.19923347284204684,0.16720725304388995,0.005612380067030881,revol_util
"(78.94, inf]",0.19983467061299048,0.15504582617851365,0.011366049455085658,revol_util
Missing,0.0008324276828450528,0.0004451887812427127,0.00024235266533534052,revol_util
Other,0.024030568594353367,0.018803926141061245,0.0012818916906274362,purpose
car,0.015133997733946863,0.009780020210157371,0.0023375581944000906,purpose
credit_card,0.22738571461604273,0.24962370948252105,0.0020749575418409862,purpose
debt_consolidation,0.5492057252526187,0.5687922664348859,0.000686355171450554,purpose
home_improvement,0.05684209309316253,0.060630472112102776,0.00024442803263762056,purpose
major_purchase,0.02713483016162971,0.018874591026972788,0.0029984793699160497,purpose
medical,0.010862025111568432,0.011115586553885509,5.851068705772666e-06,purpose
other,0.059131269220986424,0.05380071088875227,0.000503594870921008,purpose
small_business,0.019336601382754875,0.008568117416774431,0.00876502591103051,purpose
wedding,0.01093717483293639,0.0001,0.05087785488262629,purpose
MORTGAGE,0.46931579069068374,0.45848084628267366,0.0002530756264257391,home_ownership
RENT,0.4453488103221033,0.42915845187367946,0.0005995551389154934,home_ownership
OWN,0.08432376812264435,0.1123571685993513,0.008046119423568372,home_ownership
Other,0.0010116308645686405,0.0001,0.002109649506826631,home_ownership
