feature,bucket,n_loans,n_non_defaults,n_defaults,default_rate,dist_non_defaults,dist_defaults,woe,iv_component
fico_score,"(-inf, 672.0]",35500,29274,6226,0.17538028169014083,0.19325334609608372,0.28946328537226007,-0.4040264659749332,0.038871361757416456
fico_score,"(672.0, 687.0]",38059,32473,5586,0.14677211697627368,0.21437129701450663,0.2597103740033937,-0.19185751960629124,0.008698642852326547
fico_score,"(687.0, 702.0]",33853,29610,4243,0.12533601157947596,0.1954714240918918,0.19727574905278816,-0.009188290984058992,1.6578662770516606e-05
fico_score,"(702.0, 727.0]",35389,31851,3538,0.09997456836870214,0.21026521215321903,0.1645010576230213,0.2454526494223877,0.011232932978012597
fico_score,"(727.0, inf]",30187,28272,1915,0.06343790373339517,0.18663872064429884,0.08904953394853676,0.7399819968902849,0.07221424124602885
dti,"(-inf, 9.11]",34647,31238,3409,0.0983923572026438,0.20621854009539056,0.1585039864252342,0.26315673676073004,0.012556406239833064
dti,"(13.64, 17.92]",34654,30415,4239,0.12232354129393432,0.20078556929018204,0.19708979335673277,0.018578090418077065,6.866045945657379e-05
dti,"(17.92, 22.9]",34544,29848,4696,0.13594256600277907,0.19704256267225587,0.2183352316310639,-0.10261188184723341,0.002184880831413463
dti,"(22.9, inf]",34582,29140,5442,0.15736510323289574,0.1923687554668031,0.25301596894539874,-0.27403847367625067,0.016619669814392085
dti,"(9.11, 13.64]",34561,30839,3722,0.10769364312375221,0.20358457247536843,0.17305501964157038,0.1624719315624157,0.004960195418643991
revol_util,"(-inf, 33.7]",34622,31425,3197,0.09234013055282768,0.2074523213825974,0.1486448793640463,0.3333414355493485,0.019602957143448896
revol_util,"(33.7, 50.8]",34617,30570,4047,0.11690787763237716,0.2018081236838457,0.18815954627864814,0.07002710987532429,0.0009557704295956384
revol_util,"(50.8, 64.7]",34571,30249,4322,0.12501807873651327,0.19968907402150737,0.20094370322160754,-0.00626325838917276,7.858066862828472e-06
revol_util,"(64.7, 78.94]",34465,29748,4717,0.13686348469461773,0.1963817722120634,0.21930640137604016,-0.11040926293662671,0.0025310914090901702
revol_util,"(78.94, inf]",34569,29369,5200,0.1504237901009575,0.19387984130232436,0.2417600297522198,-0.2207070291482533,0.010567494147834935
revol_util,Missing,144,119,25,0.1736111111111111,0.0007888673976617839,0.001185440007438055,-0.40727105602130587,0.00016151254557270718
loan_amnt,"(-inf, 6000.0]",40305,35177,5128,0.1272298722242898,0.23222154374267653,0.2384184468050487,-0.026335463799548337,0.00016319831626841242
loan_amnt,"(12000.0, 17500.0]",28638,25115,3523,0.12301836720441371,0.16579802947535194,0.16380372376281352,0.012101452925666611,2.4133996699671687e-05
loan_amnt,"(17500.0, inf]",34448,30625,3823,0.11097886669763121,0.2021718680375621,0.17775040096696962,0.12873784304559077,0.003143966994676998
loan_amnt,"(6000.0, 9000.0]",30089,26135,3954,0.13141014988866362,0.1725314805340551,0.18384045001278446,-0.06348854627700232,0.000717990032095516
loan_amnt,"(9000.0, 12000.0]",39508,34428,5080,0.128581553103169,0.22727707821035434,0.23618697845238373,-0.03845389091389956,0.00034262033196072564
annual_inc,"(-inf, 39000.0]",34616,28624,5992,0.1730991449040906,0.1889624214018121,0.2785848771530183,-0.38817461156795435,0.034789161948990635
annual_inc,"(39000.0, 52000.0]",36633,31440,5193,0.14175743182376546,0.20755202746191803,0.24144022686594918,-0.15123989165778493,0.005125247606343083
annual_inc,"(52000.0, 67800.0]",32553,28568,3985,0.12241575277240192,0.18859274173584406,0.1852816066572139,0.017713018638905075,5.8650197363708285e-05
annual_inc,"(67800.0, 90000.0]",34620,31088,3532,0.10202195262853841,0.2052283267044048,0.1642221240789382,0.22290322159093176,0.009140414670427033
annual_inc,"(90000.0, inf]",34566,31760,2806,0.08117803622056356,0.209664482696021,0.1304711652448804,0.4743563052134518,0.037565849463719034
credit_history_months,"(-inf, 110.0]",34892,29858,5034,0.14427375902785738,0.1971085768983216,0.23404848794774644,-0.17177357866610016,0.006345300716567121
credit_history_months,"(110.0, 147.0]",34830,30214,4616,0.13252942865345965,0.19945868334626113,0.2146161177099556,-0.07324381934058743,0.001110188384201249
credit_history_months,"(147.0, 182.0]",34539,30206,4333,0.12545238715654766,0.19940587196540854,0.201459752214035,-0.010247315296890838,2.104675848973189e-05
credit_history_months,"(182.0, 239.0]",34421,30536,3885,0.11286714505679672,0.2015843414255772,0.18063271425582855,0.1097420950430188,0.0022992754601684523
credit_history_months,"(239.0, inf]",34306,30666,3640,0.1061038885326182,0.20244252636443152,0.1692429278724344,0.17912090001643127,0.005946741962070681
home_ownership,MORTGAGE,81186,72667,8519,0.10493188480772547,0.47971046064878997,0.39607159460715946,0.1915877255420687,0.016024180111833757
home_ownership,OWN,14587,12682,1905,0.13059573592925208,0.08372281855269934,0.08858670385867039,-0.056470213602976195,0.00027466464216856256
home_ownership,Other,175,145,30,0.17142857142857143,0.0009605101596229255,0.0014179451417945142,-0.38949945973172506,0.0001781706784182251
home_ownership,RENT,77040,65986,11054,0.14348390446521286,0.43560621063888777,0.5139237563923756,-0.16533627196343806,0.012948731044207674
purpose,Other,4157,3551,606,0.14577820543661293,0.023444565468528238,0.02819225584530284,-0.18440860652432256,0.0008755149665899406
purpose,car,2618,2373,245,0.09358288770053476,0.0156682179753771,0.011411704550736763,0.316994784178715,0.0013492925543976666
purpose,credit_card,39335,35193,4142,0.10530062285496378,0.2323233323431363,0.1925579881931855,0.1877327295648899,0.007465256599357487
purpose,debt_consolidation,95006,82827,12179,0.12819190366924194,0.546770307291151,0.5661460512248407,-0.03482328526052275,0.0006747270581377229
purpose,home_improvement,9833,8769,1064,0.10820705786636835,0.05789022015381061,0.049481708734253706,0.15694538028657598,0.001319677022386375
purpose,major_purchase,4694,4253,441,0.09394972305070302,0.02807868765884411,0.020522474782689537,0.3134902257938418,0.0023687988806920315
