issue_year,n_loans,n_defaults,default_rate,mean_loan_amount,share_loans
2007,251,45,0.17928286852589642,8841.733067729083,0.000186568550934701
2008,1562,247,0.15813060179257363,9212.724071702945,0.0011610361615936374
2009,4716,594,0.12595419847328243,9846.548982188295,0.0035054075147731073
2010,11536,1487,0.1289008321775312,10586.095700416088,0.008574720332998848
2011,21721,3297,0.15178859168546568,12047.503567975691,0.016145241015349164
2012,53367,8644,0.1619727546985965,13461.709014934322,0.03966774445311629
2013,134804,21024,0.15595976380522833,14707.375152072638,0.10019994796893002
2014,223103,41162,0.1844977431948472,14582.90341232525,0.16583268294495856
2015,375546,75804,0.20185010624530683,14641.618203895128,0.27914371724829967
2016,293105,68252,0.23285853192541922,14467.039456849934,0.21786523952874717
2017,169321,39169,0.23132984095298278,14301.253093237106,0.12585646857695024
2018,56318,8874,0.15756951596292482,14881.15566959054,0.04186122570334857
