bucket,part_reference,part_comparee,contribution_psi,comparaison
"(-inf, 0.0565]",0.10000115614955951,0.07591191486744171,0.006639189880724573,Train vs Validation
"(0.0565, 0.0741]",0.10000115614955951,0.08854032109245248,0.0013950551748368326,Train vs Validation
"(0.0741, 0.0902]",0.10000115614955951,0.09405794427016055,0.0003641449105144164,Train vs Validation
"(0.0902, 0.106]",0.09999537540176197,0.09465461032170758,0.0002931511414263076,Train vs Validation
"(0.106, 0.123]",0.10000115614955951,0.09690594820692625,9.731595440430527e-05,Train vs Validation
"(0.123, 0.14]",0.10000115614955951,0.1004674909269853,2.169601282516034e-06,Train vs Validation
"(0.14, 0.16]",0.09999537540176197,0.1038137417727748,0.00014309102712381218,Train vs Validation
"(0.16, 0.184]",0.10000115614955951,0.10864858214922803,0.0007171907874772359,Train vs Validation
"(0.184, 0.214]",0.10000115614955951,0.11352032970412745,0.0017142337726734104,Train vs Validation
"(0.214, inf]",0.10000115614955951,0.12347911668819585,0.004951274111112457,Train vs Validation
"(-inf, 0.0565]",0.10000115614955951,0.07727558598856642,0.005858735532813367,Train vs Test
"(0.0565, 0.0741]",0.10000115614955951,0.08918615250895677,0.001237841632881147,Train vs Test
"(0.0741, 0.0902]",0.10000115614955951,0.09421749238585854,0.0003445669101460147,Train vs Test
"(0.0902, 0.106]",0.09999537540176197,0.09579331934168592,0.00018039843452785257,Train vs Test
"(0.106, 0.123]",0.10000115614955951,0.09865171397680779,1.8333711330428695e-05,Train vs Test
"(0.123, 0.14]",0.10000115614955951,0.09955269127217994,2.0157074136245904e-06,Train vs Test
"(0.14, 0.16]",0.09999537540176197,0.1032131323623978,0.00010191330554022216,Train vs Test
"(0.16, 0.184]",0.10000115614955951,0.10672164394790584,0.0004371155731819857,Train vs Test
"(0.184, 0.214]",0.10000115614955951,0.11136432695229413,0.0012229647114647432,Train vs Test
"(0.214, inf]",0.10000115614955951,0.12402394126334683,0.005171934454783249,Train vs Test
